,Agency,Agency Type,Distribution Channel,Product Name,Net Sales,Commision (in value),category_age,category_duration,Continent,Claim
27385,EPX,Travel Agency,Online,2 way Comprehensive Plan,20.0,0.0,4,4,1,0
33115,EPX,Travel Agency,Online,Cancellation Plan,10.0,0.0,2,4,1,0
27532,EPX,Travel Agency,Online,2 way Comprehensive Plan,58.0,0.0,2,0,1,0
14260,JZI,Airlines,Online,Basic Plan,22.0,7.7,2,2,1,0
6745,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,29.7,17.82,2,2,1,0
17878,EPX,Travel Agency,Online,Cancellation Plan,33.0,0.0,2,2,1,0
30731,C2B,Airlines,Online,Bronze Plan,81.0,20.25,1,5,1,0
36888,EPX,Travel Agency,Online,Cancellation Plan,15.0,0.0,1,1,1,0
16725,EPX,Travel Agency,Online,2 way Comprehensive Plan,29.0,0.0,2,4,1,0
6442,EPX,Travel Agency,Online,Cancellation Plan,14.0,0.0,2,3,1,0
4353,EPX,Travel Agency,Online,1 way Comprehensive Plan,20.0,0.0,2,0,1,0
3060,EPX,Travel Agency,Online,Cancellation Plan,10.0,0.0,1,1,1,0
32324,EPX,Travel Agency,Online,1 way Comprehensive Plan,24.0,0.0,3,4,1,0
16139,EPX,Travel Agency,Online,Cancellation Plan,10.0,0.0,2,4,1,0
16848,EPX,Travel Agency,Online,2 way Comprehensive Plan,34.0,0.0,2,2,1,0
26751,TTW,Travel Agency,Offline,Individual Comprehensive Plan,97.0,0.0,1,6,1,0
23239,EPX,Travel Agency,Online,1 way Comprehensive Plan,27.0,0.0,2,4,1,0
12516,JZI,Airlines,Online,Basic Plan,18.0,6.3,2,0,1,0
2093,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,19.8,11.88,2,3,1,0
27705,EPX,Travel Agency,Online,2 way Comprehensive Plan,28.0,0.0,2,0,1,0
26583,JZI,Airlines,Online,Basic Plan,26.0,9.1,1,4,1,0
8673,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,29.7,17.82,2,0,1,0
27955,EPX,Travel Agency,Online,Cancellation Plan,21.0,0.0,2,4,1,0
4027,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,99.0,59.4,2,4,2,0
25934,EPX,Travel Agency,Online,Cancellation Plan,22.0,0.0,2,2,1,0
1956,EPX,Travel Agency,Online,Cancellation Plan,10.0,0.0,1,1,1,0
5121,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,39.6,23.76,2,0,1,0
30322,EPX,Travel Agency,Online,Cancellation Plan,32.0,0.0,1,2,1,0
21310,C2B,Airlines,Online,Bronze Plan,41.3,10.32,1,4,1,0
5021,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,19.8,11.88,2,1,1,0
16616,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,89.1,53.46,2,4,3,0
26319,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,89.1,53.46,2,4,2,0
6295,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,39.6,23.76,3,1,1,0
4078,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,-99.0,59.4,2,6,4,0
6634,LWC,Travel Agency,Online,Annual Travel Protect Silver,165.0,107.25,1,6,1,0
9205,EPX,Travel Agency,Online,Cancellation Plan,28.0,0.0,2,6,1,0
30007,C2B,Airlines,Online,Bronze Plan,53.5,13.38,3,2,1,0
18073,EPX,Travel Agency,Online,Cancellation Plan,10.0,0.0,2,3,4,0
5391,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,39.6,23.76,2,1,4,0
13094,EPX,Travel Agency,Online,Cancellation Plan,10.0,0.0,2,6,1,0
34957,EPX,Travel Agency,Online,2 way Comprehensive Plan,62.0,0.0,2,6,1,0
19615,C2B,Airlines,Online,Bronze Plan,69.55,17.39,1,4,1,0
5995,EPX,Travel Agency,Online,Cancellation Plan,0.0,0.0,1,0,1,0
23408,EPX,Travel Agency,Online,Cancellation Plan,64.0,0.0,1,4,3,0
11550,EPX,Travel Agency,Online,Cancellation Plan,11.0,0.0,1,1,1,0
31820,JZI,Airlines,Online,Basic Plan,22.0,7.7,2,2,1,0
8143,RAB,Airlines,Online,Value Plan,15.0,6.0,2,1,1,0
13206,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0.0,77.22,2,5,4,0
34334,C2B,Airlines,Online,Silver Plan,49.2,12.3,2,0,1,0
17213,EPX,Travel Agency,Online,2 way Comprehensive Plan,20.0,0.0,2,5,1,0
19325,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,79.2,47.52,1,2,2,0
16082,JZI,Airlines,Online,Basic Plan,22.0,7.7,2,4,1,0
28451,SSI,Airlines,Online,Ticket Protector,8.77,2.46,2,0,1,0
4915,EPX,Travel Agency,Online,2 way Comprehensive Plan,69.0,0.0,2,6,2,0
20946,C2B,Airlines,Online,Silver Plan,54.5,13.63,2,2,1,0
37052,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,29.7,17.82,2,4,1,0
35344,EPX,Travel Agency,Online,Cancellation Plan,11.0,0.0,3,0,1,0
38454,JZI,Airlines,Online,Basic Plan,22.0,7.7,2,1,1,0
858,C2B,Airlines,Online,Bronze Plan,16.0,4.0,3,0,1,0
38948,ART,Airlines,Online,24 Protect,46.49,16.27,2,6,1,0
33758,EPX,Travel Agency,Online,1 way Comprehensive Plan,20.0,0.0,2,0,1,0
38795,EPX,Travel Agency,Online,2 way Comprehensive Plan,-98.0,0.0,1,6,3,0
27216,EPX,Travel Agency,Online,1 way Comprehensive Plan,20.0,0.0,2,1,1,0
18144,C2B,Airlines,Online,Silver Plan,48.5,12.13,2,2,1,1
37349,EPX,Travel Agency,Online,Cancellation Plan,37.0,0.0,2,0,1,0
15270,EPX,Travel Agency,Online,2 way Comprehensive Plan,28.0,0.0,2,4,1,0
2171,JZI,Airlines,Online,Basic Plan,18.0,6.3,2,0,1,0
9347,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,39.6,23.76,2,6,3,0
35763,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,59.4,35.64,2,4,2,0
20437,C2B,Airlines,Online,Annual Silver Plan,252.85,63.21,2,6,1,0
37880,EPX,Travel Agency,Online,2 way Comprehensive Plan,22.0,0.0,2,6,1,0
5252,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,29.7,17.82,2,4,1,0
17049,EPX,Travel Agency,Online,2 way Comprehensive Plan,26.0,0.0,2,3,1,0
20069,EPX,Travel Agency,Online,Cancellation Plan,10.0,0.0,2,4,1,0
36257,JZI,Airlines,Online,Basic Plan,30.0,10.5,2,5,1,0
18070,EPX,Travel Agency,Online,2 way Comprehensive Plan,37.0,0.0,2,4,1,0
14830,C2B,Airlines,Online,Bronze Plan,17.55,4.39,1,1,1,0
672,EPX,Travel Agency,Online,Cancellation Plan,0.0,0.0,2,1,2,0
32587,C2B,Airlines,Online,Silver Plan,18.5,4.63,2,0,1,0
37367,EPX,Travel Agency,Online,1 way Comprehensive Plan,20.0,0.0,2,1,1,0
2216,EPX,Travel Agency,Online,Cancellation Plan,36.0,0.0,2,2,1,0
29533,EPX,Travel Agency,Online,Cancellation Plan,31.0,0.0,2,4,1,0
1788,EPX,Travel Agency,Online,Cancellation Plan,23.0,0.0,2,1,1,0
616,EPX,Travel Agency,Online,1 way Comprehensive Plan,20.0,0.0,2,1,1,0
20039,EPX,Travel Agency,Online,2 way Comprehensive Plan,29.0,0.0,3,4,1,0
24603,EPX,Travel Agency,Online,Cancellation Plan,10.0,0.0,1,4,1,0
527,EPX,Travel Agency,Online,2 way Comprehensive Plan,28.0,0.0,1,0,1,0
15214,EPX,Travel Agency,Online,Cancellation Plan,42.0,0.0,2,5,2,0
36488,EPX,Travel Agency,Online,2 way Comprehensive Plan,41.0,0.0,2,1,1,0
38733,EPX,Travel Agency,Online,2 way Comprehensive Plan,54.0,0.0,2,1,1,0
17820,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0.0,11.88,2,6,1,0
33104,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,69.3,41.58,2,6,2,0
5825,JZI,Airlines,Online,Basic Plan,35.0,12.25,1,6,1,1
11708,EPX,Travel Agency,Online,Cancellation Plan,55.0,0.0,2,6,2,0
8350,EPX,Travel Agency,Online,Cancellation Plan,10.0,0.0,2,1,1,0
13426,ART,Airlines,Online,24 Protect,34.78,12.17,2,6,1,0
10394,EPX,Travel Agency,Online,Cancellation Plan,50.0,0.0,2,6,3,0
5079,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,49.5,29.7,2,2,2,0
27535,JZI,Airlines,Online,Basic Plan,22.0,7.7,2,1,1,0
29109,EPX,Travel Agency,Online,Cancellation Plan,10.0,0.0,2,5,1,0
6096,EPX,Travel Agency,Online,Cancellation Plan,57.0,0.0,2,3,2,0
6415,JZI,Airlines,Online,Basic Plan,22.0,7.7,2,1,1,0
30026,JZI,Airlines,Online,Basic Plan,35.0,12.25,2,5,1,0
23135,EPX,Travel Agency,Online,2 way Comprehensive Plan,48.0,0.0,2,4,1,0
11942,EPX,Travel Agency,Online,Cancellation Plan,0.0,0.0,2,2,1,0
17883,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,69.3,41.58,3,1,4,0
37587,EPX,Travel Agency,Online,2 way Comprehensive Plan,29.0,0.0,2,1,1,0
38894,EPX,Travel Agency,Online,Cancellation Plan,30.0,0.0,2,2,1,0
9578,EPX,Travel Agency,Online,2 way Comprehensive Plan,37.0,0.0,2,5,1,0
36914,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0.0,17.82,1,6,4,0
19088,EPX,Travel Agency,Online,2 way Comprehensive Plan,-51.0,0.0,2,6,1,0
12754,EPX,Travel Agency,Online,Cancellation Plan,27.0,0.0,2,4,1,0
35785,EPX,Travel Agency,Online,Cancellation Plan,12.0,0.0,2,0,1,0
19253,EPX,Travel Agency,Online,Cancellation Plan,27.0,0.0,2,5,1,0
23657,EPX,Travel Agency,Online,1 way Comprehensive Plan,21.0,0.0,3,5,3,0
37200,EPX,Travel Agency,Online,2 way Comprehensive Plan,20.0,0.0,2,6,1,0
10435,SSI,Airlines,Online,Ticket Protector,1.61,0.45,2,4,1,0
28181,EPX,Travel Agency,Online,Cancellation Plan,24.0,0.0,2,2,1,0
22930,EPX,Travel Agency,Online,Cancellation Plan,21.0,0.0,2,1,1,0
35181,JZI,Airlines,Online,Basic Plan,22.0,7.7,2,1,1,0
32847,EPX,Travel Agency,Online,Cancellation Plan,33.0,0.0,2,0,1,0
22080,EPX,Travel Agency,Online,Cancellation Plan,37.0,0.0,4,6,1,0
6892,EPX,Travel Agency,Online,2 way Comprehensive Plan,20.0,0.0,2,4,1,0
29304,EPX,Travel Agency,Online,Cancellation Plan,14.0,0.0,2,0,1,0
38811,EPX,Travel Agency,Online,2 way Comprehensive Plan,42.0,0.0,2,5,4,0
27071,EPX,Travel Agency,Online,Cancellation Plan,33.0,0.0,2,3,1,0
37215,EPX,Travel Agency,Online,2 way Comprehensive Plan,78.0,0.0,4,4,4,0
34093,EPX,Travel Agency,Online,2 way Comprehensive Plan,20.0,0.0,2,1,1,0
13192,JZI,Airlines,Online,Basic Plan,30.0,10.5,2,4,1,0
12327,KML,Travel Agency,Online,Value Plan,33.0,12.54,2,3,1,0
20182,JZI,Airlines,Online,Value Plan,26.0,9.1,3,1,1,0
8411,TST,Travel Agency,Offline,Travel Cruise Protect,30.0,10.5,3,6,1,0
39166,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,49.5,29.7,2,1,4,0
37171,EPX,Travel Agency,Online,2 way Comprehensive Plan,20.0,0.0,2,5,1,0
30162,EPX,Travel Agency,Online,2 way Comprehensive Plan,29.0,0.0,3,0,1,0
16193,EPX,Travel Agency,Online,2 way Comprehensive Plan,35.0,0.0,2,3,1,0
3746,JZI,Airlines,Online,Basic Plan,22.0,7.7,2,4,1,0
16730,C2B,Airlines,Online,Bronze Plan,13.5,3.38,1,3,1,0
8558,C2B,Airlines,Online,Bronze Plan,69.55,17.39,2,2,1,0
7566,EPX,Travel Agency,Online,Cancellation Plan,0.0,0.0,2,3,1,0
37848,C2B,Airlines,Online,Bronze Plan,56.5,14.13,2,4,1,0
14220,EPX,Travel Agency,Online,2 way Comprehensive Plan,95.0,0.0,2,2,2,0
31297,EPX,Travel Agency,Online,Cancellation Plan,76.0,0.0,2,6,2,0
18586,EPX,Travel Agency,Online,Cancellation Plan,53.0,0.0,2,1,1,0
28083,EPX,Travel Agency,Online,2 way Comprehensive Plan,20.0,0.0,2,0,1,0
12934,C2B,Airlines,Online,Bronze Plan,27.0,6.75,2,0,1,0
12239,EPX,Travel Agency,Online,1 way Comprehensive Plan,35.0,0.0,2,2,1,0
10683,EPX,Travel Agency,Online,Cancellation Plan,22.0,0.0,2,6,1,0
38386,EPX,Travel Agency,Online,Cancellation Plan,10.0,0.0,1,0,3,0
10859,JZI,Airlines,Online,Basic Plan,18.0,6.3,2,0,1,0
5999,EPX,Travel Agency,Online,Cancellation Plan,37.0,0.0,2,6,1,0
24314,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,69.3,41.58,1,4,4,0
14408,KML,Travel Agency,Online,Value Plan,22.0,8.36,2,3,1,0
36811,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,19.8,11.88,1,4,1,0
28129,C2B,Airlines,Online,Annual Silver Plan,216.0,54.0,3,6,1,0
29167,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,49.5,29.7,2,4,2,0
1639,EPX,Travel Agency,Online,2 way Comprehensive Plan,98.0,0.0,2,4,1,0
8287,EPX,Travel Agency,Online,Cancellation Plan,22.0,0.0,2,1,1,0
32811,EPX,Travel Agency,Online,2 way Comprehensive Plan,20.0,0.0,2,5,1,0
39203,EPX,Travel Agency,Online,Cancellation Plan,12.0,0.0,3,0,1,0
