,Agency,Agency Type,Distribution Channel,Product Name,Duration,Destination,Net Sales,Commision (in value),Age,Claim
58,EPX,Travel Agency,Online,Cancellation Plan,83,CANADA,80.0,0.0,61,No
59,JZI,Airlines,Online,Basic Plan,9,INDONESIA,18.0,6.3,49,No
60,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,14,AUSTRALIA,0.0,17.82,31,No
61,EPX,Travel Agency,Online,2 way Comprehensive Plan,55,"KOREA, REPUBLIC OF",98.0,0.0,36,No
62,EPX,Travel Agency,Online,Cancellation Plan,18,VIET NAM,10.0,0.0,36,No
63,EPX,Travel Agency,Online,Cancellation Plan,100,UNITED STATES,0.0,0.0,37,No
64,EPX,Travel Agency,Online,Cancellation Plan,8,SINGAPORE,10.0,0.0,31,No
65,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,20,OMAN,49.5,29.7,56,No
66,EPX,Travel Agency,Online,2 way Comprehensive Plan,26,CHINA,36.0,0.0,36,No
67,EPX,Travel Agency,Online,2 way Comprehensive Plan,29,SINGAPORE,20.0,0.0,36,No
68,EPX,Travel Agency,Online,2 way Comprehensive Plan,18,PHILIPPINES,77.0,0.0,36,No
69,EPX,Travel Agency,Online,2 way Comprehensive Plan,55,HONG KONG,20.0,0.0,36,No
70,EPX,Travel Agency,Online,1 way Comprehensive Plan,1,SINGAPORE,20.0,0.0,36,No
71,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,18,GREECE,29.7,17.82,43,No
72,EPX,Travel Agency,Online,Cancellation Plan,35,UNITED STATES,10.0,0.0,29,No
73,EPX,Travel Agency,Online,Cancellation Plan,36,"TAIWAN, PROVINCE OF CHINA",47.0,0.0,36,No
74,EPX,Travel Agency,Online,2 way Comprehensive Plan,75,UNITED KINGDOM,78.0,0.0,36,No
75,C2B,Airlines,Online,Silver Plan,23,SINGAPORE,0.0,5.63,25,No
76,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,8,UNITED KINGDOM,69.3,41.58,50,No
77,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,42,AUSTRALIA,69.3,41.58,34,No
78,EPX,Travel Agency,Online,Cancellation Plan,73,BELGIUM,0.0,0.0,36,No
79,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,9,THAILAND,69.3,41.58,28,No
80,EPX,Travel Agency,Online,2 way Comprehensive Plan,32,INDONESIA,20.0,0.0,29,No
81,EPX,Travel Agency,Online,Cancellation Plan,232,TURKEY,80.0,0.0,36,No
82,JZI,Airlines,Online,Basic Plan,42,"KOREA, REPUBLIC OF",35.0,12.25,43,No
83,EPX,Travel Agency,Online,Cancellation Plan,37,"KOREA, REPUBLIC OF",33.0,0.0,29,No
84,C2B,Airlines,Online,Bronze Plan,10,SINGAPORE,21.0,5.25,22,No
85,EPX,Travel Agency,Online,Cancellation Plan,35,INDIA,10.0,0.0,36,No
86,EPX,Travel Agency,Online,Cancellation Plan,7,SINGAPORE,64.0,0.0,35,No
88,EPX,Travel Agency,Online,1 way Comprehensive Plan,15,SINGAPORE,20.0,0.0,36,No
89,RAB,Airlines,Online,Value Plan,3,BRUNEI DARUSSALAM,15.0,6.0,38,No
90,EPX,Travel Agency,Online,2 way Comprehensive Plan,17,CHINA,26.0,0.0,36,No
91,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,99,DENMARK,227.7,136.62,50,No
92,EPX,Travel Agency,Online,Cancellation Plan,6,SINGAPORE,10.0,0.0,35,No
93,LWC,Travel Agency,Online,Single Trip Travel Protect Gold,26,UNITED KINGDOM,48.5,31.53,23,No
94,C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,-216.75,54.19,36,No
95,JZI,Airlines,Online,Basic Plan,173,INDONESIA,33.0,11.55,44,No
96,EPX,Travel Agency,Online,Cancellation Plan,74,SINGAPORE,40.0,0.0,36,No
97,JZI,Airlines,Online,Basic Plan,23,VIET NAM,22.0,7.7,57,No
98,EPX,Travel Agency,Online,1 way Comprehensive Plan,2,INDONESIA,24.0,0.0,35,No
100,C2B,Airlines,Online,Bronze Plan,82,SINGAPORE,161.0,40.25,50,No
101,CWT,Travel Agency,Offline,Rental Vehicle Excess Insurance,66,SWITZERLAND,99.0,59.4,57,No
102,EPX,Travel Agency,Online,2 way Comprehensive Plan,156,JAPAN,26.0,0.0,36,Yes
103,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,16,AUSTRALIA,59.4,35.64,29,No
104,JZI,Airlines,Online,Value Plan,10,CHINA,45.0,15.75,45,No
106,EPX,Travel Agency,Online,2 way Comprehensive Plan,32,SINGAPORE,44.0,0.0,36,No
107,EPX,Travel Agency,Online,Cancellation Plan,73,THAILAND,33.0,0.0,53,No
108,EPX,Travel Agency,Online,1 way Comprehensive Plan,3,CHINA,30.0,0.0,36,No
109,EPX,Travel Agency,Online,Cancellation Plan,8,CHINA,19.0,0.0,36,No
110,EPX,Travel Agency,Online,1 way Comprehensive Plan,39,PHILIPPINES,20.0,0.0,20,No
111,KML,Travel Agency,Online,Value Plan,95,BELGIUM,75.0,28.5,48,No
112,EPX,Travel Agency,Online,Cancellation Plan,98,"TAIWAN, PROVINCE OF CHINA",21.0,0.0,36,No
113,C2B,Airlines,Online,Silver Plan,9,SINGAPORE,39.0,9.75,31,No
114,EPX,Travel Agency,Online,Cancellation Plan,111,INDONESIA,22.0,0.0,36,No
115,C2B,Airlines,Online,Bronze Plan,8,SINGAPORE,17.55,4.39,30,No
116,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,430,AUSTRALIA,-59.4,35.64,41,No
117,EPX,Travel Agency,Online,Cancellation Plan,31,JAPAN,51.0,0.0,36,No
118,EPX,Travel Agency,Online,Cancellation Plan,13,CHINA,0.0,0.0,35,No
119,EPX,Travel Agency,Online,Cancellation Plan,13,MALAYSIA,10.0,0.0,47,No
120,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,53,INDONESIA,29.7,17.82,54,No
121,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,77,JAPAN,-29.7,17.82,59,No
122,C2B,Airlines,Online,Bronze Plan,40,SINGAPORE,80.25,20.06,29,No
123,EPX,Travel Agency,Online,Cancellation Plan,18,THAILAND,63.0,0.0,36,No
124,EPX,Travel Agency,Online,2 way Comprehensive Plan,20,VIET NAM,33.0,0.0,36,No
125,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,95,NETHERLANDS,0.0,5.94,31,No
126,EPX,Travel Agency,Online,Cancellation Plan,37,PHILIPPINES,12.0,0.0,35,No
127,EPX,Travel Agency,Online,Cancellation Plan,87,UNITED STATES,64.0,0.0,20,No
128,EPX,Travel Agency,Online,2 way Comprehensive Plan,9,CHINA,112.0,0.0,36,No
129,EPX,Travel Agency,Online,Cancellation Plan,70,HONG KONG,10.0,0.0,20,No
130,EPX,Travel Agency,Online,2 way Comprehensive Plan,25,INDIA,30.0,0.0,36,No
131,EPX,Travel Agency,Online,2 way Comprehensive Plan,151,UNITED STATES,112.0,0.0,69,No
132,C2B,Airlines,Online,Silver Plan,19,SINGAPORE,72.0,18.0,34,No
133,EPX,Travel Agency,Online,Cancellation Plan,45,JAPAN,53.0,0.0,36,No
134,EPX,Travel Agency,Online,Cancellation Plan,20,JAPAN,38.0,0.0,35,No
135,EPX,Travel Agency,Online,Cancellation Plan,3,SINGAPORE,15.0,0.0,36,No
136,C2B,Airlines,Online,Bronze Plan,11,SINGAPORE,17.0,4.25,52,Yes
137,EPX,Travel Agency,Online,1 way Comprehensive Plan,37,SINGAPORE,24.0,0.0,36,No
138,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,23,MALAYSIA,59.4,35.64,53,No
139,EPX,Travel Agency,Online,2 way Comprehensive Plan,54,INDIA,54.0,0.0,36,No
140,EPX,Travel Agency,Online,Cancellation Plan,23,SINGAPORE,37.0,0.0,36,No
141,EPX,Travel Agency,Online,Cancellation Plan,10,"TAIWAN, PROVINCE OF CHINA",36.0,0.0,36,No
142,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,14,MALAYSIA,19.8,11.88,25,Yes
143,EPX,Travel Agency,Online,1 way Comprehensive Plan,31,THAILAND,33.0,0.0,36,No
144,EPX,Travel Agency,Online,Cancellation Plan,38,INDONESIA,69.0,0.0,36,No
145,RAB,Airlines,Online,Value Plan,4,BRUNEI DARUSSALAM,15.0,6.0,28,No
146,JZI,Airlines,Online,Basic Plan,38,THAILAND,30.0,10.5,46,No
147,EPX,Travel Agency,Online,Cancellation Plan,114,SWEDEN,115.0,0.0,36,No
148,C2B,Airlines,Online,Silver Plan,13,SINGAPORE,76.3,19.07,35,Yes
149,EPX,Travel Agency,Online,2 way Comprehensive Plan,118,MYANMAR,20.0,0.0,30,No
150,EPX,Travel Agency,Online,1 way Comprehensive Plan,62,KENYA,26.0,0.0,36,No
151,C2B,Airlines,Online,Silver Plan,3,SINGAPORE,19.5,4.88,27,No
152,EPX,Travel Agency,Online,Cancellation Plan,2,CHINA,19.0,0.0,36,No
153,C2B,Airlines,Online,Bronze Plan,11,SINGAPORE,29.5,7.38,27,No
154,C2B,Airlines,Online,Bronze Plan,58,SINGAPORE,62.0,15.5,23,Yes
155,JZI,Airlines,Online,Basic Plan,19,CHINA,26.0,9.1,40,No
156,RAB,Airlines,Online,Value Plan,2,MALAYSIA,15.0,6.0,58,No
157,JZI,Airlines,Online,Basic Plan,28,MALAYSIA,30.0,10.5,33,No
158,EPX,Travel Agency,Online,Cancellation Plan,14,MYANMAR,11.0,0.0,36,No
159,SSI,Airlines,Online,Ticket Protector,36,SINGAPORE,3.73,1.05,48,No
160,EPX,Travel Agency,Online,2 way Comprehensive Plan,42,CHINA,26.0,0.0,36,No
161,EPX,Travel Agency,Online,2 way Comprehensive Plan,11,INDONESIA,21.0,0.0,36,No
162,EPX,Travel Agency,Online,Cancellation Plan,12,SINGAPORE,80.0,0.0,36,No
163,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,3,MALAYSIA,19.8,11.88,45,No
164,EPX,Travel Agency,Online,Cancellation Plan,20,VIET NAM,11.0,0.0,36,No
165,EPX,Travel Agency,Online,2 way Comprehensive Plan,112,SINGAPORE,79.0,0.0,36,No
166,EPX,Travel Agency,Online,Cancellation Plan,326,PHILIPPINES,19.0,0.0,36,No
167,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,74,AUSTRALIA,138.6,83.16,50,No
168,EPX,Travel Agency,Online,Cancellation Plan,22,SINGAPORE,10.0,0.0,36,No
169,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,24,SWITZERLAND,49.5,29.7,35,No
170,EPX,Travel Agency,Online,Cancellation Plan,59,INDIA,18.0,0.0,30,No
171,EPX,Travel Agency,Online,1 way Comprehensive Plan,3,MALAYSIA,20.0,0.0,36,No
172,EPX,Travel Agency,Online,Cancellation Plan,4,MALAYSIA,10.0,0.0,36,No
173,C2B,Airlines,Online,Silver Plan,19,SINGAPORE,22.5,5.63,22,Yes
174,JZI,Airlines,Online,Basic Plan,43,PHILIPPINES,42.0,14.7,43,No
175,C2B,Airlines,Online,Silver Plan,44,SINGAPORE,39.0,9.75,50,No
176,EPX,Travel Agency,Online,Cancellation Plan,29,CZECH REPUBLIC,59.0,0.0,36,No
177,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,11,UNITED STATES,59.4,35.64,42,No
178,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,18,MALAYSIA,29.7,17.82,41,No
179,JZI,Airlines,Online,Basic Plan,27,THAILAND,22.0,7.7,39,No
180,JZI,Airlines,Online,Basic Plan,19,JAPAN,44.0,15.4,41,No
181,C2B,Airlines,Online,Bronze Plan,6,SINGAPORE,16.0,4.0,27,No
182,EPX,Travel Agency,Online,Cancellation Plan,16,SINGAPORE,10.0,0.0,70,No
183,EPX,Travel Agency,Online,Cancellation Plan,21,INDIA,26.0,0.0,36,No
184,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,23,"KOREA, REPUBLIC OF",29.7,17.82,25,No
185,JZI,Airlines,Online,Basic Plan,7,MALAYSIA,18.0,6.3,53,No
186,SSI,Airlines,Online,Ticket Protector,97,SINGAPORE,5.59,1.57,48,No
187,C2B,Airlines,Online,Bronze Plan,16,SINGAPORE,33.5,8.38,20,No
188,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,17,FRANCE,29.7,17.82,51,No
189,TST,Travel Agency,Offline,Travel Cruise Protect,63,MALAYSIA,30.0,10.5,76,No
190,C2B,Airlines,Online,Bronze Plan,6,SINGAPORE,53.25,13.31,33,No
191,C2B,Airlines,Online,Bronze Plan,4,SINGAPORE,16.0,4.0,65,No
192,C2B,Airlines,Online,Silver Plan,21,SINGAPORE,62.25,15.56,34,No
193,EPX,Travel Agency,Online,2 way Comprehensive Plan,35,VIET NAM,23.0,0.0,36,No
194,KML,Travel Agency,Online,Value Plan,74,GERMANY,75.0,28.5,48,No
195,EPX,Travel Agency,Online,2 way Comprehensive Plan,16,RUSSIAN FEDERATION,25.0,0.0,36,No
196,EPX,Travel Agency,Online,2 way Comprehensive Plan,21,RUSSIAN FEDERATION,93.0,0.0,36,No
197,EPX,Travel Agency,Online,Cancellation Plan,60,JAPAN,30.0,0.0,36,No
198,EPX,Travel Agency,Online,Cancellation Plan,11,MALAYSIA,10.0,0.0,36,No
199,EPX,Travel Agency,Online,Cancellation Plan,29,HONG KONG,-12.0,0.0,36,No
200,SSI,Airlines,Online,Ticket Protector,45,SINGAPORE,1.03,0.29,48,No
201,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,5,MALAYSIA,0.0,23.76,41,No
202,EPX,Travel Agency,Online,2 way Comprehensive Plan,43,CHINA,27.0,0.0,36,No
203,C2B,Airlines,Online,Bronze Plan,24,SINGAPORE,32.0,8.0,74,No
204,LWC,Travel Agency,Online,Single Trip Travel Protect Silver,17,UNITED STATES,56.5,36.73,35,No
205,JZI,Airlines,Online,Value Plan,14,THAILAND,39.0,13.65,39,No
206,JZI,Airlines,Online,Value Plan,18,AUSTRALIA,58.0,20.3,48,No
207,C2B,Airlines,Online,Bronze Plan,9,SINGAPORE,20.0,5.0,41,No
208,EPX,Travel Agency,Online,Cancellation Plan,38,PAKISTAN,32.0,0.0,36,No
209,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,7,MALAYSIA,39.6,23.76,57,No
210,EPX,Travel Agency,Online,2 way Comprehensive Plan,20,JAPAN,72.0,0.0,36,No
211,JZI,Airlines,Online,Basic Plan,39,SRI LANKA,22.0,7.7,29,No
212,EPX,Travel Agency,Online,2 way Comprehensive Plan,17,HONG KONG,34.0,0.0,36,No
213,C2B,Airlines,Online,Bronze Plan,5,SINGAPORE,16.0,4.0,29,No
214,JZI,Airlines,Online,Basic Plan,10,CHINA,22.0,7.7,66,No
215,JZI,Airlines,Online,Basic Plan,51,THAILAND,22.0,7.7,36,No
216,EPX,Travel Agency,Online,1 way Comprehensive Plan,38,SINGAPORE,20.0,0.0,36,No
217,EPX,Travel Agency,Online,Cancellation Plan,7,CHINA,37.0,0.0,36,No
218,EPX,Travel Agency,Online,Cancellation Plan,180,INDONESIA,10.0,0.0,28,No
219,EPX,Travel Agency,Offline,2 way Comprehensive Plan,23,INDONESIA,20.0,0.0,31,No
220,EPX,Travel Agency,Online,2 way Comprehensive Plan,4,THAILAND,20.0,0.0,36,No
221,EPX,Travel Agency,Online,Cancellation Plan,39,UNITED KINGDOM,59.0,0.0,36,No
222,EPX,Travel Agency,Online,Cancellation Plan,7,PHILIPPINES,28.0,0.0,36,No
223,EPX,Travel Agency,Online,Cancellation Plan,2,INDIA,22.0,0.0,36,No
224,EPX,Travel Agency,Online,Cancellation Plan,160,ARGENTINA,41.0,0.0,36,No
225,EPX,Travel Agency,Online,Cancellation Plan,25,INDIA,32.0,0.0,36,No
226,TTW,Travel Agency,Offline,Individual Comprehensive Plan,368,SINGAPORE,97.0,0.0,37,No
227,EPX,Travel Agency,Online,Cancellation Plan,73,POLAND,128.0,0.0,36,No
228,EPX,Travel Agency,Online,Cancellation Plan,39,HONG KONG,19.0,0.0,36,No
229,JZI,Airlines,Online,Value Plan,9,AUSTRALIA,45.0,15.75,45,Yes
230,C2B,Airlines,Online,Silver Plan,6,SINGAPORE,22.5,5.63,43,No
231,EPX,Travel Agency,Online,1 way Comprehensive Plan,26,INDONESIA,24.0,0.0,36,No
232,EPX,Travel Agency,Online,2 way Comprehensive Plan,25,HONG KONG,29.0,0.0,35,No
233,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,65,AUSTRALIA,9.9,5.94,31,No
234,EPX,Travel Agency,Online,Cancellation Plan,11,SINGAPORE,80.0,0.0,36,No
235,JZI,Airlines,Online,Basic Plan,14,CHINA,26.0,9.1,45,No
236,EPX,Travel Agency,Online,2 way Comprehensive Plan,5,UNITED STATES,43.0,0.0,28,No
237,EPX,Travel Agency,Online,2 way Comprehensive Plan,93,INDONESIA,20.0,0.0,45,No
238,JZI,Airlines,Online,Value Plan,71,AUSTRALIA,58.0,20.3,28,No
239,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,13,MALAYSIA,19.8,11.88,47,No
240,EPX,Travel Agency,Online,1 way Comprehensive Plan,25,SINGAPORE,20.0,0.0,35,No
241,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,57,AUSTRALIA,-59.4,35.64,28,No
242,JZI,Airlines,Online,Basic Plan,0,CHINA,22.0,7.7,34,No
243,EPX,Travel Agency,Online,Cancellation Plan,2,INDIA,16.0,0.0,35,No
244,EPX,Travel Agency,Online,Cancellation Plan,34,UNITED STATES,21.0,0.0,32,No
245,EPX,Travel Agency,Online,Cancellation Plan,5,SINGAPORE,10.0,0.0,36,No
246,EPX,Travel Agency,Online,2 way Comprehensive Plan,8,CHINA,30.0,0.0,36,No
247,JZI,Airlines,Online,Basic Plan,9,SRI LANKA,26.0,9.1,63,No
248,EPX,Travel Agency,Online,Cancellation Plan,8,MALAYSIA,15.0,0.0,36,No
249,EPX,Travel Agency,Online,2 way Comprehensive Plan,40,SINGAPORE,30.0,0.0,29,No
250,EPX,Travel Agency,Online,1 way Comprehensive Plan,28,INDONESIA,20.0,0.0,41,No
251,EPX,Travel Agency,Online,2 way Comprehensive Plan,76,JAPAN,45.0,0.0,36,No
252,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,69,UNITED KINGDOM,138.6,83.16,48,No
253,EPX,Travel Agency,Online,2 way Comprehensive Plan,19,CHINA,26.0,0.0,36,No
254,C2B,Airlines,Online,Bronze Plan,10,SINGAPORE,40.0,10.0,55,No
255,EPX,Travel Agency,Online,Cancellation Plan,17,SINGAPORE,10.0,0.0,39,No
256,EPX,Travel Agency,Online,Cancellation Plan,15,UNITED KINGDOM,66.0,0.0,36,No
257,EPX,Travel Agency,Online,Cancellation Plan,110,ARGENTINA,80.0,0.0,36,No
258,EPX,Travel Agency,Online,Cancellation Plan,5,JAPAN,10.0,0.0,22,No
259,C2B,Airlines,Online,Bronze Plan,11,SINGAPORE,26.5,6.63,41,No
260,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,13,THAILAND,49.5,29.7,31,No
261,EPX,Travel Agency,Online,1 way Comprehensive Plan,2,MALAYSIA,20.0,0.0,21,No
262,SSI,Airlines,Online,Ticket Protector,146,SINGAPORE,0.19,0.05,48,No
263,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,6,AUSTRALIA,29.7,17.82,60,No
264,EPX,Travel Agency,Online,2 way Comprehensive Plan,6,THAILAND,25.0,0.0,34,No
265,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,16,AUSTRALIA,49.5,29.7,48,No
266,JZI,Airlines,Online,Basic Plan,116,THAILAND,18.0,6.3,39,No
267,JZI,Airlines,Online,Basic Plan,2,CHINA,22.0,7.7,36,No
268,EPX,Travel Agency,Online,Cancellation Plan,129,MALAYSIA,10.0,0.0,41,No
269,EPX,Travel Agency,Online,Cancellation Plan,62,INDIA,50.0,0.0,36,No
270,EPX,Travel Agency,Online,1 way Comprehensive Plan,6,UNITED STATES,23.0,0.0,49,No
271,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,11,AUSTRALIA,39.6,23.76,47,No
272,JZI,Airlines,Online,Value Plan,84,"KOREA, REPUBLIC OF",69.0,24.15,34,No
273,EPX,Travel Agency,Online,2 way Comprehensive Plan,63,"TANZANIA, UNITED REPUBLIC OF",112.0,0.0,36,No
274,EPX,Travel Agency,Online,2 way Comprehensive Plan,17,PHILIPPINES,20.0,0.0,36,No
275,C2B,Airlines,Online,Bronze Plan,12,SINGAPORE,16.0,4.0,21,No
276,EPX,Travel Agency,Online,2 way Comprehensive Plan,33,MALAYSIA,21.0,0.0,36,No
277,JZI,Airlines,Offline,Basic Plan,43,AUSTRALIA,83.0,29.05,59,No
278,EPX,Travel Agency,Online,Cancellation Plan,19,MYANMAR,34.0,0.0,36,No
279,EPX,Travel Agency,Online,2 way Comprehensive Plan,149,MALAYSIA,20.0,0.0,36,No
280,EPX,Travel Agency,Online,Cancellation Plan,73,VIET NAM,16.0,0.0,36,No
281,C2B,Airlines,Online,Silver Plan,6,SINGAPORE,35.5,8.88,29,No
282,JZI,Airlines,Online,Value Plan,17,CHINA,58.0,20.3,30,No
283,TST,Travel Agency,Offline,Travel Cruise Protect,38,MALAYSIA,30.0,10.5,63,No
284,EPX,Travel Agency,Online,2 way Comprehensive Plan,5,INDONESIA,38.0,0.0,35,No
285,EPX,Travel Agency,Online,2 way Comprehensive Plan,14,JAPAN,53.0,0.0,36,No
286,JZI,Airlines,Online,Basic Plan,39,HONG KONG,26.0,9.1,54,No
287,EPX,Travel Agency,Online,2 way Comprehensive Plan,13,THAILAND,35.0,0.0,36,No
288,EPX,Travel Agency,Online,Cancellation Plan,70,UNITED STATES,80.0,0.0,59,No
289,EPX,Travel Agency,Online,Cancellation Plan,7,MALAYSIA,10.0,0.0,36,No
290,JZI,Airlines,Online,Basic Plan,4,MYANMAR,18.0,6.3,30,No
291,EPX,Travel Agency,Online,2 way Comprehensive Plan,33,JAPAN,30.0,0.0,27,No
