,Agency,Agency Type,Distribution Channel,Product Name,Duration,Destination,Net Sales,Commision (in value),Age,Claim
3459,EPX,Travel Agency,Online,2 way Comprehensive Plan,14,CYPRUS,112.0,0.0,36,No
33466,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,12,CZECH REPUBLIC,39.6,23.76,59,No
9474,EPX,Travel Agency,Online,2 way Comprehensive Plan,31,THAILAND,20.0,0.0,36,No
1046,EPX,Travel Agency,Online,1 way Comprehensive Plan,5,INDONESIA,20.0,0.0,60,No
29971,RAB,Airlines,Online,Value Plan,62,BRUNEI DARUSSALAM,15.0,6.0,42,No
21020,EPX,Travel Agency,Online,2 way Comprehensive Plan,17,BANGLADESH,29.0,0.0,30,No
33674,EPX,Travel Agency,Online,2 way Comprehensive Plan,22,MALAYSIA,20.0,0.0,45,No
12568,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,37,MALAYSIA,19.8,11.88,31,No
11139,EPX,Travel Agency,Online,Cancellation Plan,4,MALAYSIA,10.0,0.0,34,No
38294,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,17,SINGAPORE,118.8,71.28,44,No
39265,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,72,NEW ZEALAND,89.1,53.46,31,No
14679,EPX,Travel Agency,Online,Cancellation Plan,204,AUSTRALIA,13.0,0.0,36,No
33438,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,9,PHILIPPINES,39.6,23.76,33,No
27163,C2B,Airlines,Online,Bronze Plan,22,SINGAPORE,62.0,15.5,49,No
35885,C2B,Airlines,Online,Bronze Plan,13,SINGAPORE,23.0,5.75,28,No
24503,EPX,Travel Agency,Online,2 way Comprehensive Plan,13,TAIWAN,91.0,0.0,36,No
26304,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,17,MALAYSIA,29.7,17.82,58,No
22815,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,78,AUSTRALIA,49.5,29.7,31,No
16920,C2B,Airlines,Online,Annual Silver Plan,366,SINGAPORE,252.85,63.21,59,No
16706,EPX,Travel Agency,Online,Cancellation Plan,29,THAILAND,10.0,0.0,51,No
23323,EPX,Travel Agency,Online,Cancellation Plan,80,PHILIPPINES,19.0,0.0,36,No
38510,EPX,Travel Agency,Online,2 way Comprehensive Plan,52,DENMARK,71.0,0.0,36,No
19931,EPX,Travel Agency,Online,Cancellation Plan,6,MALAYSIA,32.0,0.0,45,No
37498,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,22,MALAYSIA,29.7,17.82,49,No
20594,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,108,MALAYSIA,29.7,17.82,66,No
33731,ART,Airlines,Online,24 Protect,64,UNITED ARAB EMIRATES,19.24,6.73,48,No
14114,EPX,Travel Agency,Online,2 way Comprehensive Plan,22,SINGAPORE,63.0,0.0,36,No
1582,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,35,GREECE,89.1,53.46,32,No
34428,JZI,Airlines,Online,Basic Plan,79,THAILAND,30.0,10.5,38,No
26690,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,14,CHINA,49.5,29.7,34,No
3010,C2B,Airlines,Online,Annual Silver Plan,380,SINGAPORE,161.0,40.25,27,Yes
2405,JZI,Airlines,Online,Basic Plan,2,MALAYSIA,18.0,6.3,31,No
35967,TST,Travel Agency,Offline,Travel Cruise Protect,33,THAILAND,30.0,10.5,75,No
16114,EPX,Travel Agency,Online,1 way Comprehensive Plan,1,MALAYSIA,20.0,0.0,26,No
36577,EPX,Travel Agency,Online,Cancellation Plan,78,HONG KONG,17.0,0.0,36,No
5080,EPX,Travel Agency,Online,Cancellation Plan,17,CHINA,32.0,0.0,36,No
11329,EPX,Travel Agency,Online,2 way Comprehensive Plan,28,TURKEY,70.0,0.0,36,No
13257,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,33,MALAYSIA,-39.6,23.76,40,No
36344,EPX,Travel Agency,Online,2 way Comprehensive Plan,23,UNITED KINGDOM,93.0,0.0,36,No
30521,EPX,Travel Agency,Online,1 way Comprehensive Plan,69,SINGAPORE,28.0,0.0,39,No
31013,LWC,Travel Agency,Online,Annual Travel Protect Platinum,382,UNITED STATES,323.4,210.21,35,No
17942,EPX,Travel Agency,Online,2 way Comprehensive Plan,22,UNITED STATES,30.0,0.0,29,No
8039,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,20,AUSTRALIA,49.5,29.7,45,No
12395,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,77,MALAYSIA,19.8,11.88,37,No
19356,EPX,Travel Agency,Online,Cancellation Plan,34,UNITED STATES,80.0,0.0,19,No
3390,C2B,Airlines,Online,Silver Plan,4,SINGAPORE,22.5,5.63,29,No
12525,EPX,Travel Agency,Online,Cancellation Plan,281,NEW ZEALAND,69.0,0.0,36,No
21275,EPX,Travel Agency,Online,2 way Comprehensive Plan,6,SOUTH KOREA,112.0,0.0,36,No
25795,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,85,UNITED KINGDOM,19.8,11.88,45,No
12465,JZI,Airlines,Online,Basic Plan,13,THAILAND,22.0,7.7,60,No
22009,JZI,Airlines,Online,Value Plan,6,SOUTH KOREA,36.0,12.6,62,No
35071,EPX,Travel Agency,Online,1 way Comprehensive Plan,26,SINGAPORE,41.0,0.0,36,No
6296,EPX,Travel Agency,Online,Cancellation Plan,105,THAILAND,10.0,0.0,55,No
155,JZI,Airlines,Online,Basic Plan,19,CHINA,26.0,9.1,40,No
27680,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,54,MALAYSIA,29.7,17.82,43,No
25727,EPX,Travel Agency,Online,Cancellation Plan,5,UNITED STATES,77.0,0.0,23,No
5040,EPX,Travel Agency,Online,2 way Comprehensive Plan,22,MALAYSIA,20.0,0.0,30,No
9443,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,5,SOUTH AFRICA,49.5,29.7,33,No
38913,EPX,Travel Agency,Online,2 way Comprehensive Plan,84,JAPAN,56.0,0.0,36,No
28742,EPX,Travel Agency,Online,Cancellation Plan,10,CHINA,29.0,0.0,53,No
27067,JZI,Airlines,Online,Basic Plan,25,ITALY,49.0,17.15,49,No
28569,EPX,Travel Agency,Online,Cancellation Plan,96,UNITED STATES,80.0,0.0,29,No
6577,EPX,Travel Agency,Online,2 way Comprehensive Plan,78,HONG KONG,32.0,0.0,35,No
17576,EPX,Travel Agency,Online,2 way Comprehensive Plan,48,JAPAN,49.0,0.0,36,No
33713,EPX,Travel Agency,Online,1 way Comprehensive Plan,6,CHINA,30.0,0.0,36,No
2184,C2B,Airlines,Online,Bronze Plan,7,SINGAPORE,16.0,4.0,28,No
25110,EPX,Travel Agency,Online,2 way Comprehensive Plan,3,SOUTH KOREA,26.0,0.0,36,No
22210,EPX,Travel Agency,Online,1 way Comprehensive Plan,29,SINGAPORE,20.0,0.0,28,No
23913,EPX,Travel Agency,Online,1 way Comprehensive Plan,2,MALAYSIA,20.0,0.0,52,No
2973,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,122,NEW ZEALAND,39.6,23.76,47,No
33336,EPX,Travel Agency,Online,Cancellation Plan,10,SOUTH KOREA,36.0,0.0,36,No
35864,JZI,Airlines,Online,Basic Plan,43,INDONESIA,22.0,7.7,57,No
35992,C2B,Airlines,Online,Silver Plan,63,SINGAPORE,50.25,12.56,36,No
26457,EPX,Travel Agency,Online,2 way Comprehensive Plan,19,UNITED STATES,104.0,0.0,52,No
7185,SSI,Airlines,Online,Ticket Protector,29,SINGAPORE,1.03,0.29,48,No
33174,C2B,Airlines,Online,Bronze Plan,22,SINGAPORE,16.0,4.0,39,No
32954,C2B,Airlines,Online,Silver Plan,39,SINGAPORE,106.5,26.63,52,Yes
10598,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,63,UNITED KINGDOM,168.3,100.98,31,No
7397,EPX,Travel Agency,Online,1 way Comprehensive Plan,25,AUSTRALIA,20.0,0.0,36,No
4191,C2B,Airlines,Online,Bronze Plan,47,SINGAPORE,32.5,8.13,37,No
3021,EPX,Travel Agency,Online,1 way Comprehensive Plan,32,JAPAN,44.0,0.0,36,No
23311,EPX,Travel Agency,Online,2 way Comprehensive Plan,25,UNITED STATES,22.0,0.0,34,No
13973,C2B,Airlines,Online,Annual Silver Plan,398,SINGAPORE,216.0,54.0,28,No
26400,EPX,Travel Agency,Online,Cancellation Plan,3,INDONESIA,10.0,0.0,26,No
9783,EPX,Travel Agency,Online,Cancellation Plan,70,IRELAND,48.0,0.0,36,No
1021,EPX,Travel Agency,Online,Cancellation Plan,15,FRANCE,80.0,0.0,36,No
23914,EPX,Travel Agency,Online,Cancellation Plan,14,CHINA,60.0,0.0,36,No
614,EPX,Travel Agency,Online,2 way Comprehensive Plan,71,FRANCE,85.0,0.0,36,No
25027,EPX,Travel Agency,Online,2 way Comprehensive Plan,58,MALAYSIA,24.0,0.0,36,No
28734,EPX,Travel Agency,Online,Cancellation Plan,178,JAPAN,26.0,0.0,36,No
8730,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,29,UNITED KINGDOM,69.3,41.58,51,No
9947,EPX,Travel Agency,Online,Cancellation Plan,17,INDONESIA,10.0,0.0,49,No
5895,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,3,MALAYSIA,19.8,11.88,30,No
30359,EPX,Travel Agency,Online,Cancellation Plan,40,NETHERLANDS,56.0,0.0,36,No
2924,C2B,Airlines,Online,Bronze Plan,5,SINGAPORE,21.0,5.25,37,No
14430,EPX,Travel Agency,Online,2 way Comprehensive Plan,19,HONG KONG,20.0,0.0,40,No
33023,EPX,Travel Agency,Online,Cancellation Plan,18,TAIWAN,56.0,0.0,36,No
25539,EPX,Travel Agency,Online,Cancellation Plan,32,AUSTRALIA,31.0,0.0,36,No
6549,EPX,Travel Agency,Online,Cancellation Plan,2,PHILIPPINES,32.0,0.0,35,No
31628,LWC,Travel Agency,Online,Single Trip Travel Protect Platinum,3,MALAYSIA,26.5,17.23,71,No
14623,EPX,Travel Agency,Online,Cancellation Plan,10,VIETNAM,10.0,0.0,44,No
16758,C2B,Airlines,Online,Bronze Plan,13,SINGAPORE,61.1,15.28,55,No
35142,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,7,AUSTRALIA,29.7,17.82,44,No
2070,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,19,MALAYSIA,39.6,23.76,57,No
32334,EPX,Travel Agency,Online,Cancellation Plan,49,THAILAND,23.0,0.0,36,No
26434,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,8,AUSTRALIA,69.3,41.58,31,No
10678,C2B,Airlines,Online,Annual Silver Plan,368,SINGAPORE,216.0,54.0,58,Yes
32806,EPX,Travel Agency,Online,2 way Comprehensive Plan,8,MALAYSIA,20.0,0.0,28,No
6761,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,34,NEW ZEALAND,-69.3,41.58,31,No
36757,RAB,Airlines,Online,Value Plan,237,BRUNEI DARUSSALAM,15.0,6.0,23,No
5298,EPX,Travel Agency,Online,2 way Comprehensive Plan,47,TAIWAN,23.0,0.0,57,No
20031,C2B,Airlines,Online,Bronze Plan,107,SINGAPORE,27.0,6.75,48,No
11444,EPX,Travel Agency,Online,2 way Comprehensive Plan,53,TAIWAN,20.0,0.0,36,No
16755,EPX,Travel Agency,Online,2 way Comprehensive Plan,5,SRI LANKA,61.0,0.0,36,No
12136,C2B,Airlines,Online,Bronze Plan,54,SINGAPORE,60.0,15.0,28,No
11551,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,7,MALAYSIA,19.8,11.88,56,No
32068,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,8,INDONESIA,29.7,17.82,34,No
35833,EPX,Travel Agency,Online,2 way Comprehensive Plan,79,PHILIPPINES,51.0,0.0,36,No
34263,C2B,Airlines,Online,Bronze Plan,8,SINGAPORE,20.0,5.0,54,No
10064,EPX,Travel Agency,Online,Cancellation Plan,53,PHILIPPINES,14.0,0.0,33,No
8445,JZI,Airlines,Online,Basic Plan,7,TAIWAN,35.0,12.25,18,No
35336,C2B,Airlines,Online,Silver Plan,11,SINGAPORE,54.6,13.65,27,No
26022,EPX,Travel Agency,Online,Cancellation Plan,94,CHINA,25.0,0.0,36,No
24622,EPX,Travel Agency,Online,1 way Comprehensive Plan,3,INDONESIA,52.0,0.0,36,No
10955,EPX,Travel Agency,Online,Cancellation Plan,7,UNITED ARAB EMIRATES,21.0,0.0,47,No
16363,EPX,Travel Agency,Online,2 way Comprehensive Plan,74,HONG KONG,27.0,0.0,36,No
31639,EPX,Travel Agency,Online,Cancellation Plan,81,CHINA,-20.0,0.0,36,No
7305,EPX,Travel Agency,Online,Cancellation Plan,23,UNITED KINGDOM,80.0,0.0,36,No
7750,EPX,Travel Agency,Online,2 way Comprehensive Plan,9,MALAYSIA,20.0,0.0,50,No
15073,LWC,Travel Agency,Online,Single Trip Travel Protect Silver,16,JAPAN,37.5,24.38,30,No
13835,EPX,Travel Agency,Online,2 way Comprehensive Plan,39,CHINA,37.0,0.0,36,No
18152,EPX,Travel Agency,Online,2 way Comprehensive Plan,35,MYANMAR,20.0,0.0,35,No
38942,C2B,Airlines,Online,Bronze Plan,5,SINGAPORE,28.5,7.13,31,No
22156,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,82,THAILAND,128.7,77.22,37,No
11633,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,33,MALAYSIA,0.0,41.58,53,No
30747,EPX,Travel Agency,Online,Cancellation Plan,8,INDIA,10.0,0.0,36,No
9936,JZI,Airlines,Online,Basic Plan,67,CHINA,63.0,22.05,42,No
33251,JZI,Airlines,Online,Basic Plan,6,THAILAND,22.0,7.7,59,No
23552,JZI,Airlines,Online,Basic Plan,58,THAILAND,22.0,7.7,54,No
20853,EPX,Travel Agency,Online,Cancellation Plan,4,MALAYSIA,29.0,0.0,36,No
10925,EPX,Travel Agency,Online,2 way Comprehensive Plan,34,INDONESIA,20.0,0.0,66,No
39194,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,13,CANADA,0.0,41.58,31,No
28152,EPX,Travel Agency,Online,Cancellation Plan,67,AUSTRIA,80.0,0.0,36,No
26142,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,2,AUSTRALIA,9.9,5.94,56,No
3646,EPX,Travel Agency,Online,Cancellation Plan,30,HONG KONG,10.0,0.0,36,No
37782,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,7,AUSTRALIA,29.7,17.82,54,No
15062,EPX,Travel Agency,Online,2 way Comprehensive Plan,77,PHILIPPINES,20.0,0.0,36,No
37034,C2B,Airlines,Online,Silver Plan,6,SINGAPORE,22.5,5.63,28,No
1204,C2B,Airlines,Online,Bronze Plan,53,SINGAPORE,16.0,4.0,31,No
11974,EPX,Travel Agency,Online,Cancellation Plan,71,CHINA,25.0,0.0,36,No
19333,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,7,ITALY,49.5,29.7,31,No
37029,EPX,Travel Agency,Online,2 way Comprehensive Plan,16,CHINA,77.0,0.0,35,No
37173,EPX,Travel Agency,Online,2 way Comprehensive Plan,33,PHILIPPINES,22.0,0.0,36,No
19901,EPX,Travel Agency,Online,2 way Comprehensive Plan,51,INDIA,20.0,0.0,59,No
891,EPX,Travel Agency,Online,2 way Comprehensive Plan,23,SOUTH KOREA,43.0,0.0,36,No
4162,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,108,NETHERLANDS,0.0,5.94,31,No
26831,C2B,Airlines,Online,Silver Plan,57,SINGAPORE,126.75,31.69,40,No
36328,EPX,Travel Agency,Online,2 way Comprehensive Plan,114,UNITED KINGDOM,87.0,0.0,36,No
30130,EPX,Travel Agency,Online,2 way Comprehensive Plan,62,JAPAN,77.0,0.0,26,No
17425,EPX,Travel Agency,Online,Cancellation Plan,24,PHILIPPINES,24.0,0.0,36,No
5967,EPX,Travel Agency,Online,1 way Comprehensive Plan,23,INDIA,20.0,0.0,36,No
10876,EPX,Travel Agency,Online,2 way Comprehensive Plan,34,HUNGARY,108.0,0.0,36,No
28394,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,11,AUSTRALIA,-39.6,23.76,37,No
29802,JZI,Airlines,Online,Basic Plan,12,THAILAND,18.0,6.3,55,No
14800,EPX,Travel Agency,Online,Cancellation Plan,19,UNITED KINGDOM,22.0,0.0,36,No
1405,C2B,Airlines,Online,Bronze Plan,14,SINGAPORE,26.5,6.63,33,No
17267,EPX,Travel Agency,Online,1 way Comprehensive Plan,57,PHILIPPINES,20.0,0.0,36,No
34557,ART,Airlines,Online,24 Protect,14,SINGAPORE,169.0,59.15,48,No
8013,C2B,Airlines,Online,Bronze Plan,13,SINGAPORE,13.5,3.38,45,No
33570,JZI,Airlines,Online,Basic Plan,144,CHINA,69.0,24.15,32,No
26890,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,18,THAILAND,39.6,23.76,31,No
25540,EPX,Travel Agency,Online,Cancellation Plan,47,THAILAND,10.0,0.0,41,No
33184,EPX,Travel Agency,Online,Cancellation Plan,29,MALAYSIA,10.0,0.0,36,No
37938,EPX,Travel Agency,Online,Cancellation Plan,41,HONG KONG,13.0,0.0,36,No
31300,EPX,Travel Agency,Online,2 way Comprehensive Plan,120,SOUTH AFRICA,90.0,0.0,36,No
32637,C2B,Airlines,Online,Bronze Plan,153,SINGAPORE,20.0,5.0,58,No
11155,EPX,Travel Agency,Online,2 way Comprehensive Plan,7,CAMBODIA,25.0,0.0,36,No
1379,EPX,Travel Agency,Online,2 way Comprehensive Plan,15,HONG KONG,20.0,0.0,47,No
6701,C2B,Airlines,Online,Annual Silver Plan,366,SINGAPORE,216.0,54.0,18,No
17161,C2B,Airlines,Online,Gold Plan,14,SINGAPORE,73.0,18.25,28,No
25886,EPX,Travel Agency,Online,2 way Comprehensive Plan,323,PERU,50.0,0.0,36,No
5513,JZI,Airlines,Online,Basic Plan,31,HONG KONG,63.0,22.05,43,No
23821,EPX,Travel Agency,Online,Cancellation Plan,11,UNITED STATES,24.0,0.0,47,No
23932,EPX,Travel Agency,Online,2 way Comprehensive Plan,6,MALAYSIA,20.0,0.0,44,No
11897,JZI,Airlines,Online,Basic Plan,78,SRI LANKA,40.0,14.0,51,No
15892,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,22,THAILAND,39.6,23.76,46,No
16374,EPX,Travel Agency,Online,1 way Comprehensive Plan,3,VIETNAM,20.0,0.0,49,No
32795,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,63,AUSTRALIA,69.3,41.58,47,No
36455,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,39,AUSTRALIA,79.2,47.52,50,No
5106,C2B,Airlines,Online,Bronze Plan,5,SINGAPORE,13.5,3.38,53,No
16322,EPX,Travel Agency,Offline,2 way Comprehensive Plan,9,CANADA,155.0,0.0,52,No
14118,EPX,Travel Agency,Online,2 way Comprehensive Plan,12,UNITED KINGDOM,112.0,0.0,35,No
16275,EPX,Travel Agency,Online,Cancellation Plan,32,IRELAND,55.0,0.0,36,No
22803,C2B,Airlines,Online,Bronze Plan,23,SINGAPORE,34.5,8.63,65,No
13099,JZI,Airlines,Online,Basic Plan,3,CHINA,22.0,7.7,33,No
33099,JZI,Airlines,Online,Basic Plan,53,HONG KONG,26.0,9.1,54,No
12951,JZI,Airlines,Online,Value Plan,21,UNITED STATES,0.0,33.6,49,No
39099,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,14,AUSTRALIA,79.2,47.52,57,No
15401,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,72,AUSTRALIA,-19.8,11.88,39,No
33201,EPX,Travel Agency,Online,2 way Comprehensive Plan,4,INDIA,42.0,0.0,36,No
14635,C2B,Airlines,Online,Silver Plan,9,SINGAPORE,78.0,19.5,36,No
15008,EPX,Travel Agency,Online,2 way Comprehensive Plan,4,VIETNAM,33.0,0.0,51,No
24457,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,8,THAILAND,19.8,11.88,43,No
3363,EPX,Travel Agency,Online,Cancellation Plan,70,PHILIPPINES,13.0,0.0,36,No
142,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,14,MALAYSIA,19.8,11.88,25,Yes
37721,EPX,Travel Agency,Online,Cancellation Plan,10,SOUTH KOREA,23.0,0.0,36,No
27069,EPX,Travel Agency,Online,Cancellation Plan,35,INDONESIA,10.0,0.0,30,No
15933,SSI,Airlines,Online,Ticket Protector,71,SINGAPORE,4.52,1.27,48,No
29274,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,29,CANADA,69.3,41.58,41,No
15322,EPX,Travel Agency,Online,Cancellation Plan,15,SINGAPORE,12.0,0.0,31,No
2952,EPX,Travel Agency,Online,Cancellation Plan,52,SOUTH KOREA,11.0,0.0,36,No
2301,EPX,Travel Agency,Online,2 way Comprehensive Plan,102,TAIWAN,20.0,0.0,36,No
38264,JZI,Airlines,Online,Basic Plan,6,AUSTRALIA,0.0,9.1,31,No
36954,EPX,Travel Agency,Online,Cancellation Plan,14,HUNGARY,14.0,0.0,36,No
4296,JZI,Airlines,Online,Basic Plan,72,JAPAN,35.0,12.25,33,No
120,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,53,INDONESIA,29.7,17.82,54,No
30340,ART,Airlines,Online,24 Protect,7,UNITED ARAB EMIRATES,15.26,5.34,48,No
8798,JZI,Airlines,Online,Basic Plan,3,CHINA,22.0,7.7,49,No
37695,CCR,Travel Agency,Offline,Comprehensive Plan,43,MALAYSIA,29.0,9.57,87,No
12010,EPX,Travel Agency,Online,2 way Comprehensive Plan,9,JAPAN,70.0,0.0,36,No
8637,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,3,SWEDEN,19.8,11.88,36,No
7788,EPX,Travel Agency,Online,2 way Comprehensive Plan,10,MALAYSIA,70.0,0.0,36,No
29574,EPX,Travel Agency,Online,1 way Comprehensive Plan,1,AUSTRALIA,33.0,0.0,36,No
9392,EPX,Travel Agency,Online,Cancellation Plan,36,JAPAN,38.0,0.0,36,No
8650,EPX,Travel Agency,Online,Cancellation Plan,59,MALAYSIA,10.0,0.0,26,No
37485,EPX,Travel Agency,Online,Cancellation Plan,98,JAPAN,31.0,0.0,36,No
6317,EPX,Travel Agency,Online,2 way Comprehensive Plan,30,LAOS,38.0,0.0,36,No
36419,RAB,Airlines,Online,Value Plan,4,BRUNEI DARUSSALAM,15.0,6.0,44,No
6108,C2B,Airlines,Online,Silver Plan,35,SINGAPORE,100.5,25.13,24,No
6544,EPX,Travel Agency,Online,2 way Comprehensive Plan,37,HONG KONG,20.0,0.0,29,No
19439,EPX,Travel Agency,Online,2 way Comprehensive Plan,6,MALAYSIA,20.0,0.0,49,No
5568,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,103,UNITED KINGDOM,118.8,71.28,59,No
22382,EPX,Travel Agency,Online,Cancellation Plan,193,SINGAPORE,71.0,0.0,36,No
2396,EPX,Travel Agency,Online,2 way Comprehensive Plan,17,INDONESIA,20.0,0.0,36,No
